RTAC Number,Site Number,Site,Abreviation,Panel,RTAC SCADA IP,Final Cut RTAC IP,
1,1,Archer,AC,Panel #1 - 3530,172.19.8.81,,Rtac count 73
2,2,Alachua,AL,Panel #1 - 3530,172.19.5.81,,
3,2,Alachua,AL,Panel #2 - 3530,172.19.5.82,,
4,3,Wacahoota,WH,Panel #1 - 3530,172.19.9.81,,
5,4,Farnsworth,FA,Panel #1 - 3530,172.19.6.81,,
6,5,Haile,HL,Panel #1 - 3530,172.19.10.81,,
7,5,Haile,HL,Panel #2 - 3530,172.19.10.82,,
8,6,Phifer,PH,Panel #1 - 3530,172.19.7.81,,
9,7,Bland,BL,Panel #1 - 3530,172.19.3.81,,
10,8,Worthington Springs,WS,Panel #1 - 3530,172.19.4.81,,
11,9,Cara,CA,Panel #1 - 3530,172.23.2.81,,
12,10,Brooker - BR,BR,Panel #1 - 3530,172.26.2.81,,
13,11,Waldo Breaker,WB,Panel #1 - 3530,172.16.5.81,,
14,12,Waldo,WA,Panel #1 - 3530,172.16.4.81,,
15,13,Florahome,FL,Panel #1 - 3530,172.16.2.81,,
16,13,Florahome,FL,Panel #2 - 3530,172.16.2.82,,
17,14,Melrose,ME,Panel #1 - 3530,172.16.3.81,,
18,15,Keystone,KH,Panel #1 - 3530,172.16.6.81,,
19,16,Brandford,BN,Panel #1 - 3530,172.25.3.81,,
20,17,Fort White,FW,Panel #1 - 3530,172.25.4.81,,
21,18,Lake City/Tustenugee,LC/TU,Panel #1 LC- 3530,172.25.2.81,,
22,18,Lake City/Tustenugee,LC/TU,Panel #2 LC- 3530,172.25.2.82,,
23,18,Lake City/Tustenugee,LC/TU,Panel #3 TU- 3530,172.25.2.83,,
24,19,New River,NR,Panel #1 - 3530,172.17.10.81,,
25,20,Raiford East,RE,Panel #1 - 3530,172.17.11.81,,
26,21,Raiford West,RW,Panel #1 - 3530,172.17.11.82,,
27,22,Water Oak,WO,Panel #1 - 3530,172.17.8.81,,
28,23,Sanderson,SN,Panel #1 - 3530,172.17.7.81,,
29,24,Doctors Inlet,DI,Panel #1 - 3530,172.17.3.81,,
30,24,Doctors Inlet,DI,Panel #2 - 3530,172.17.3.82,,
31,25,Black Creek,BC,Panel #1 - 3530,172.17.2.81,,
32,26,Middleburg,MI,Panel #1 - 3530,172.17.5.81,,
33,26,Middleburg,MI,Panel #2 - 3530,172.17.5.82,,
34,27,Maxville,MX,Panel #1 - 3530,172.17.6.81,,
35,28,Griffis Loop,GL,Panel #1 - 3530,172.17.9.81,,
36,29,Double Branch,DB,Panel #1 - 3530,172.17.4.81,,
37,29,Double Branch,DB,Panel #2 - 3530,172.17.4.82,,
38,29,Double Branch,DB,Panel #3 - 3530,172.17.4.83,,
39,30,Orange Park North,OP,Panel #1 - 3530,172.18.3.81,,
40,30,Orange Park North,OP,Panel #2 - 3530,172.18.3.82,,
41,31,Ridgewood,RD,Panel #1 - 3530,172.18.8.81,,
42,31,Ridgewood,RD,Panel #2 - 3530,172.18.8.82,,
43,32,Wesconnett,WE,Panel #1 - 3530,172.18.6.81,,
44,32,Wesconnett,WE,Panel #2 - 3530,172.18.6.82,,
45,33,Belair West,BW,Panel #1 - 3530,172.18.2.81,,
46,34,Brickyard,BY,Panel #1 - 3530,172.18.5.81,,
47,34,Brickyard,BY,Panel #2 - 3530,172.18.5.82,,
48,35,Green Cove,GC,Panel #1 - 3530,172.18.7.81,,
49,36,Fleming Island,FI,Panel #1 - 3530,172.18.10.81,,
50,36,Fleming Island,FI,Panel #2 - 3530,172.18.10.82,,
51,36,Fleming Island,FI,Panel #3 - 3530,172.18.10.83,,
52,37,Lake Asbury,LA,Panel #1 - 3530,172.18.4.81,,
53,38,Spring Garden,SG,Panel #1 - 3530,172.20.9.81,,
54,39,Salt Springs Old,SS,Panel #1 - 3530,172.20.6.81,,
55,40,Salt Springs New,SSN,Panel #1 - 3530,172.20.2.81,,
56,41,Georgetown,GT,Panel #1 - 3530,172.20.4.81,,
57,42,Hammond,HA,Panel #1 - 3530,172.20.3.81,,
58,43,Astor Switching,AB,Panel #1 - 3530,172.20.8.81,,
59,44,Pomona Park,PP,Panel #1 - 3530,172.20.7.81,,
60,45,Astor,AS,Panel #1 - 3530,172.20.5.81,,
61,46,Hawthorne Switching,HB,Panel #1 - 3530,172.21.8.81,,
62,47,Hawthorne,HW,Panel #1 - 3530,172.21.3.81,,
63,48,Francis,FR,Panel #1 - 3530,172.21.2.81,,
64,48,Francis,FR,Panel #2 - 3530,172.21.2.81,,
65,49,Georgia Pacific,GP,Panel #1 - 3530,172.21.7.81,,
66,50,Mannville,MN,Panel #1 - 3530,172.21.6.81,,
67,51,Ft. McCoy Breaker,FB,Panel #1 - 3530,172.21.9.81,,
68,52,Riverview,RV,Panel #1 - 3530,172.21.5.81,,
69,53,Satsuma,SA,Panel #1 - 3530,172.21.4.81,,
70,54,Ft McCoy,FM,Panel #1 - 3530,172.22.2.81,,
71,55,Lynn,LY,Panel #1 - 3530,172.22.3.81,,
72,56,Russell,RS,Panel #1 - 3530,172.27.2.81,,
73,56,Russell,RS,Panel #2 - 3530,172.27.2.82,,