Name  ,Desc  ,Zones  ,Disp_Alog  ,Disp_Stat  ,Disp_Text  ,Disp_Alms  ,Disp_Ovrw  ,Class_Alog  ,Class_Stat  ,Class_Text  ,Class_Alms  ,Train  
DI  ,DR INLET DISTRIBUTION  ,3  ,DIANSY  ,DISTSY  ,DITXSY  ,DIALSY  ,DI  ,116  ,116  ,116  ,116  ,0  
BY  ,BRICKYARD SUBSTATION  ,4  ,BYANSY  ,BYSTSY  ,BYTXSY  ,BYALSY  ,BY  ,117  ,117  ,117  ,117  ,0  
WS  ,WORTHINGTON SPRINGS DIST  ,5  ,WSANSY  ,WSSTSY  ,WSTXSY  ,WSALSY  ,WS  ,149  ,149  ,149  ,149  ,0  
WA  ,WALDO SUBSTATION  ,1  ,WAANSY  ,WASTSY  ,WATXSY  ,WAALSY  ,WA  ,156  ,156  ,156  ,156  ,0  
AB  ,ASTOR SWITCHING  ,1  ,ABANSY  ,ABSTSY  ,ABTXSY  ,ABALSY  ,AB  ,75  ,75  ,75  ,75  ,0  
FW  ,FT WHITE DIST SUB  ,5  ,FWANSY  ,FWSTSY  ,FWTXSY  ,FWALSY  ,FW  ,120  ,120  ,120  ,120  ,0  
BC  ,BLACK CREEK TRANSMISSION  ,3  ,BCANSY  ,BCSTSY  ,BCTXSY  ,BCALSY  ,BC  ,76  ,76  ,76  ,76  ,0  
SG  ,SPRING GARDEN  ,7  ,SGANSY  ,SGSTSY  ,SGTXSY  ,SGALSY  ,SG  ,150  ,150  ,150  ,150  ,0  
FM  ,FT MCCOY DISTRIBUTION  ,7  ,FMANSY  ,FMSTSY  ,FMTXSY  ,FMALSY  ,FM  ,141  ,141  ,141  ,141  ,0  
CA  ,CARA DISTRIBUTION  ,5  ,CAANSY  ,CASTSY  ,CATXSY  ,CAALSY  ,CA  ,144  ,144  ,144  ,144  ,0  
MI  ,MIDDLEBURG DISTRIBUTION  ,3  ,MIANSY  ,MISTSY  ,MITXSY  ,MIALSY  ,MI  ,105  ,105  ,105  ,105  ,0  
LA  ,LAKE ASBURY DISTRIBUTION  ,1 2 3 4 5 6 7 8  ,LAANSY  ,LASTSY  ,LATXSY  ,LAALSY  ,LA  ,115  ,115  ,115  ,115  ,0  
G11  ,SPARTON GEN RTU AT SG  ,2  ,G11ANY  ,G11STY  ,  ,G11ALY  ,  ,58  ,58  ,0  ,58  ,0  
DB  ,DOUBLE BRANCH DIST.  ,3  ,DBANSY  ,DBSTSY  ,DBTXSY  ,DBALSY  ,DB  ,121  ,121  ,121  ,121  ,0  
BW  ,BELAIR WEST DIST  ,4  ,BWANSY  ,BWSTSY  ,BWTXSY  ,BWALSY  ,BW  ,110  ,110  ,110  ,110  ,0  
OP  ,ORANGE PARK DISTRIBUTION  ,4  ,OPANSY  ,OPSTSY  ,OPTXSY  ,OPALSY  ,OP  ,114  ,114  ,114  ,114  ,0  
AL  ,ALACHUA DISTRIBUTION  ,5  ,ALANSY  ,ALSTSY  ,ALTXSY  ,ALALSY  ,AL  ,126  ,126  ,126  ,126  ,0  
FB  ,FT MCCOY SWITCHING  ,2  ,FBANSY  ,FBSTSY  ,FBTXSY  ,FBALSY  ,FB  ,77  ,77  ,77  ,77  ,0  
FI  ,FLEMING ISLAND SUB  ,4  ,FIANSY  ,FISTSY  ,FITXSY  ,FIALSY  ,FI  ,119  ,119  ,119  ,119  ,0  
HA  ,HAMMOND DISTRIBUTION  ,7  ,HAANSY  ,HASTSY  ,HATXSY  ,HAALSY  ,HA  ,164  ,164  ,164  ,164  ,0  
WH  ,WACAHOOTA DISTRIBUTION  ,5  ,WHANSY  ,WHSTSY  ,WHTXSY  ,WHALSY  ,  ,129  ,129  ,129  ,129  ,0  
GC  ,GREEN COVE DISTRIBUTION  ,3  ,GCANSY  ,GCSTSY  ,GCTXSY  ,GCALSY  ,GC  ,118  ,118  ,118  ,118  ,0  
LC  ,LAKE CITY DISTRIBUTION  ,3  ,LCANSY  ,LCSTSY  ,LCTXSY  ,LCALSY  ,LC  ,103  ,103  ,103  ,103  ,0  
G5  ,LAKE BUTLER GENERATOR  ,3  ,G5ANSY  ,G5STSY  ,G5TXSY  ,G5ALSY  ,G5NFP2  ,83  ,83  ,83  ,83  ,0  
PH  ,PHIFER DISTRIBUTION  N  ,5  ,PHANSY  ,PHSTSY  ,PHTXSY  ,PHALSY  ,PH  ,136  ,136  ,136  ,136  ,0  
HB  ,HAWTHORNE SWITCHING  ,6  ,HBANSY  ,HBSTSY  ,HBTXSY  ,HBALSY  ,HB  ,78  ,78  ,78  ,78  ,0  
RS  ,RUSSELL DISTRIBUTION  ,4  ,RSANSY  ,RSSTSY  ,RSTXSY  ,RSALSY  ,  ,111  ,111  ,111  ,111  ,0  
GP  ,GEORGIA PACIFIC DIST SUB  ,6  ,GPANSY  ,GPSTSY  ,GPTXSY  ,GPALSY  ,GP  ,137  ,137  ,137  ,137  ,0  
BR  ,BROOKER DIST  ,5  ,BRANSY  ,BRSTSY  ,BRTXSY  ,BRALSY  ,BR  ,124  ,124  ,124  ,124  ,0  
SS  ,SALT SPRGS DISTRIBUTION  ,7  ,SSANSY  ,SSSTSY  ,SSTXSY  ,SSALSY  ,SS  ,162  ,162  ,162  ,162  ,0  
RV  ,RIVERVIEW DISTRIBUTION  ,6  ,RVANSY  ,RVSTSY  ,RVTXSY  ,RVALSY  ,RV  ,132  ,132  ,132  ,132  ,0  
FL  ,FLORAHOME SUBSTATION  ,1  ,FLANSY  ,FLSTSY  ,FLTXSY  ,FLALSY  ,  ,131  ,131  ,131  ,131  ,0  
MX  ,MAXVILLE DISTRIBUTION  ,3  ,MXANSY  ,MXSTSY  ,MXTXSY  ,MXALSY  ,MX  ,104  ,104  ,104  ,104  ,0  
FSP  ,FSP DISTRIBUTION  ,3  ,FSPANS  ,FSPSTS  ,FSPTXT  ,FSPALS  ,FSP  ,139  ,139  ,139  ,139  ,0  
AC  ,ARCHER DISTRIBUTION  ,5  ,ACANSY  ,ACSTSY  ,ACTXSY  ,ACALSY  ,AC  ,138  ,138  ,138  ,138  ,0  
RD  ,RIDGEWOOD DISTRIBUTION  ,1 2 3 4 5 6 7 8  ,RDANSY  ,RDSTSY  ,RDTXSY  ,RDALSY  ,  ,107  ,107  ,107  ,107  ,0  
PP  ,POMONA PARK SWITCHING  ,7  ,PPANSY  ,PPSTSY  ,PPTXSY  ,PPALSY  ,PP  ,81  ,81  ,81  ,81  ,0  
KH  ,KEYSTONE HT DISTRIBUTION  ,1  ,KHANSY  ,KHSTSY  ,KHTXSY  ,KHALSY  ,KH  ,128  ,128  ,128  ,128  ,0  
BN  ,BRANFORD DISTRIBUTION  ,3  ,BNANSY  ,BNSTSY  ,BNTXSY  ,BNALSY  ,BN  ,101  ,101  ,101  ,101  ,0  
MN  ,MANNVILLE DISTRIBUTION  ,6  ,MNANSY  ,MNSTSY  ,MNTXSY  ,MNALSY  ,MN  ,163  ,163  ,163  ,163  ,0  
ME  ,MELROSE DISTRIBUTION  ,1  ,MEANSY  ,MESTSY  ,METXSY  ,MEALSY  ,ME  ,130  ,130  ,130  ,130  ,0  
LY  ,LYNNE DISTRIBUTION  ,7  ,LYANSY  ,LYSTSY  ,LYTXSY  ,LYALSY  ,LY  ,158  ,158  ,158  ,158  ,0  
GT  ,GEORGETOWN DISTRIBUTION  ,7  ,GTANSY  ,GTSTSY  ,GTTXTY  ,GTALSY  ,GT  ,160  ,160  ,160  ,160  ,0  
SEL  ,COMLINE 2  ,1 2 3 4 5 6 7 8  ,SELANY  ,SELSTY  ,  ,SELALM  ,SEL  ,0  ,0  ,0  ,0  ,0  
TU  ,TUSTENUGGEE TRANSMISSION  ,3  ,TUANSY  ,TUSTSY  ,TUTXSY  ,TUALSY  ,TU  ,102  ,102  ,102  ,102  ,0  
GL  ,GRIFFIS LOOP DIST  ,1  ,GLANSY  ,GLSTSY  ,GLTXSY  ,GLALSY  ,GL  ,109  ,109  ,109  ,109  ,0  
ES  ,ESHOP TRAINING STATION  ,1  ,ESANSY  ,ESSTSY  ,ESTXSY  ,ESALSY  ,ES  ,128  ,128  ,128  ,128  ,0  
SEM  ,SEMINOLE LD MANAGEMENT  ,1 2 3 4 5 6 7 8  ,SEMANY  ,SEMSTY  ,SEMTXY  ,SEMALM  ,  ,200  ,200  ,200  ,200  ,0  
FR  ,FRANCIS RTU RTU R-TAC  ,6  ,FRANSY  ,FRSTSY  ,FRTXSY  ,FRALSY  ,FR  ,134  ,134  ,134  ,134  ,0  
UCI  ,UCI DISTRIBUTION  ,3  ,UCIANS  ,UCISTS  ,UCITXT  ,UCIALS  ,UCI  ,140  ,140  ,140  ,140  ,0  
NR  ,NEW RIVR TRANS STAT  ,3  ,NRNANS  ,NRNSTS  ,NRNTXS  ,NRNALS  ,NR  ,80  ,80  ,80  ,80  ,0  
WB  ,WALDO SWITCHING  ,2  ,WBANSY  ,WBSTSY  ,WBTXSY  ,WBALSY  ,WB  ,77  ,77  ,77  ,77  ,0  
CEC  ,MISC STATION POINTS  ,1 2 3 4 5 6 7 8  ,CECANS  ,CECSTS  ,CECTXS  ,CECALS  ,CEC  ,193  ,193  ,193  ,193  ,0  
MOB  ,MOBILE SUBSTATION  ,7  ,MOBANS  ,MOBSTS  ,MOBTXT  ,MOBALS  ,MOB  ,151  ,151  ,151  ,151  ,0  
PS  ,PSEUDO POINTS  ,1 2 3 4 5 6 7 8  ,PSANSY  ,PSSTSY  ,  ,  ,  ,200  ,200  ,0  ,0  ,0  
SA  ,SATSUMA DISTRIBUTION  ,6  ,SAANSY  ,SASTSY  ,SATXSY  ,SAALSY  ,SA  ,159  ,159  ,159  ,159  ,0  
G10  ,PUTNAM GEN RTU AT FR  ,6  ,G10ANY  ,G10STY  ,  ,G10ALY  ,  ,58  ,58  ,0  ,58  ,0  
SECI  ,SEMINOLE MASTER  ,1 2 3 4 5 6 7 8  ,SECIAN  ,SECISY  ,SECITY  ,SECIAY  ,SECI  ,250  ,250  ,250  ,250  ,0  
E2  ,ESHOP TRAINING RTU #2  ,1  ,E2ANSY  ,E2STSY  ,E2TXSY  ,E2ALSY  ,E2  ,128  ,128  ,128  ,128  ,0  
FA  ,FARNSWORTH DIST  ,5  ,FAANSY  ,FASTSY  ,FATXSY  ,FAALSY  ,FA  ,125  ,125  ,125  ,125  ,0  
HW  ,HAWTHORNE DISTRIBUTION  ,6  ,HWANSY  ,HWSTSY  ,HWTXSY  ,HWALSY  ,HW  ,135  ,135  ,135  ,135  ,0  
G34  ,GC GEN 3 & 4  ,3  ,G34ANS  ,G34STS  ,G34TXT  ,G34ALS  ,G34  ,141  ,141  ,141  ,141  ,0  
OPS  ,OPERATIONS DOORS  ,1 2 3 4 5 6 7 8  ,OPSANY  ,OPSSTY  ,OPSTXY  ,OPSALY  ,  ,250  ,250  ,250  ,250  ,0  
SN  ,SANDERSON DISTRIBUTION  ,3  ,SNANSY  ,SNSTSY  ,SNTXSY  ,SNALSY  ,SN  ,113  ,113  ,113  ,113  ,0  
SB  ,SPRING BANK TRANSMISSION  ,3  ,SBANSY  ,SBSTSY  ,SBTXSY  ,SBALSY  ,SB  ,84  ,84  ,84  ,84  ,0  
TB  ,LM TEST BOARD  ,8  ,TBANSY  ,TBSTSY  ,TBTXSY  ,TBALSY  ,  ,74  ,74  ,74  ,74  ,0  
SPR  ,SPARE POINTS  ,8  ,SPRANY  ,SPRSTY  ,SPRTXY  ,SPRALY  ,  ,198  ,198  ,198  ,198  ,0  
DS  ,DIRECT SERVE LD MGMT  ,1 2 3 4 5 6 7 8  ,DSANSY  ,DSSTSY  ,DSTXSY  ,DSALRM  ,  ,200  ,200  ,200  ,200  ,0  
WE  ,WESCONNETT DISTRIBUTION  ,4  ,WEANSY  ,WESTSY  ,WETXSY  ,WEALSY  ,WE  ,106  ,106  ,106  ,106  ,0  
HL  ,HAILE SUB  ,5  ,HLANSY  ,HLSTSY  ,HLTXSY  ,HLALSY  ,HL2  ,127  ,127  ,127  ,127  ,0  
SYS$  ,SYTEM PSUEDO POINTS  ,1 2 3 4 5 6 7 8  ,SYS$AN  ,SYS$ST  ,  ,  ,  ,250  ,250  ,0  ,0  ,0  
BL  ,BLAND SUBSTATION  ,5  ,BLANSY  ,BLSTSY  ,BLTXSY  ,BLALSY  ,BL  ,122  ,122  ,122  ,122  ,0  
WO  ,WATER OAK DISTRIBUTION  ,3  ,WOANSY  ,WOSTSY  ,WOTXSY  ,WOALSY  ,WO  ,112  ,112  ,112  ,112  ,0  
AS  ,ASTOR DISTRIBUTION  ,7  ,ASANSY  ,ASSTSY  ,ASTXSY  ,ASALSY  ,AS  ,152  ,152  ,152  ,152  ,0  
ODA$  ,ODA PSEUDO ANALOG  ,1 2 3 4 5 6 7 8  ,ODA$AN  ,ODA$ST  ,  ,ODA$AL  ,  ,0  ,0  ,0  ,0  ,0  
